FarmID,4/24/2024,5/25/2024,6/21/2024,7/9/2024,7/16/2024,7/22/2024,8/6/2024,Total
1,237,7,0,0,0,0,20,264
2,112,87,60,0,0,0,15,274
3,12,65,60,0,0,0,0,137
4,12,7,0,0,0,0,0,19
5,12,67,101,0,0,30,30,240
6,12,147,0,0,0,0,0,159
7,12,187,0,0,20,0,20,239
8,12,107,0,0,25,0,0,144
9,12,167,0,0,0,0,0,179
10,12,37,0,30,30,30,30,169
11,12,82,0,30,30,30,0,184
12,12,127,0,0,30,0,30,199
13,12,97,0,30,30,30,30,229
14,87,7,0,0,30,30,30,184
15,12,187,0,0,0,0,0,199
16,12,187,0,30,25,0,0,254
17,12,77,100,0,30,30,0,249
18,12,57,0,30,30,30,30,189
19,12,187,0,0,0,30,0,229
20,12,117,0,0,0,0,30,159
21,12,87,0,10,15,0,15,139
22,82,57,0,30,30,0,0,199
23,12,97,0,30,0,30,30,199
24,12,87,0,30,30,30,30,219
25,12,127,0, 0,25,25,25,214
26,72,32,30,30,0,0,30,194
27,12,147,0,30,30,30,30,279
28,12,187,40,0,0,0,0,239
29,12,87,80,0,30,0,30,239
30,12,77,40,0,0,0,0,129
31,12,187,0,0,0,0,0,199
32,12,37,0,0,30,30,0,109
33,12,37,0,0,30,30,0,109
34,12,97,0,0,30,30,0,169
