Timestamp,Mean_Temp,Minimum_Relative_Humidity,Wind_Speed,Shortwave_Downwelling_Radiation,Recommendations
2024-06-04,74,35,3,231.72,
2024-06-05,73,22,2,287.58,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-06,71,28,2,323.43,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-07,75,28,3,344.4,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-08,71,49,4,282.63,
2024-06-09,66,48,2,291.12,
2024-06-10,68,36,3,285.68,
2024-06-11,73,36,2,332.75,
2024-06-12,81,14,3,330.73,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-13,82,18,3,347.34,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-14,74,37,3,295.74,
2024-06-15,76,26,2,241.43,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-16,83,28,3,311.22,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-17,83,33,6,333.89,
2024-06-18,74,46,5,288.27,
2024-06-19,64,61,3,276.32,
2024-06-20,76,41,4,134.08,
2024-06-21,80,39,5,306.41,
2024-06-22,78,29,3,315.91,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-23,82,21,3,304.59,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-24,86,17,2,320.87,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-25,85,16,2,304.34,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-26,79,29,3,336.96,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-27,80,38,4,337.95,
2024-06-28,80,27,2,164.37,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-06-29,71,41,3,318.49,
2024-06-30,64,65,4,314.78,
2024-07-01,77,30,3,110.29,
2024-07-02,75,42,2,253.46,
2024-07-03,72,46,3,290.16,
2024-07-04,67,34,3,257.68,
2024-07-05,64,46,2,326.57,
2024-07-06,69,37,3,201.94,
2024-07-07,63,59,2,282.69,
2024-07-08,68,35,2,127.19,
2024-07-09,73,32,2,338.43,
2024-07-10,76,29,2,338.76,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-07-11,76,33,2,332.33,
2024-07-12,81,27,3,329.66,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-07-13,82,29,2,322.99,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-07-14,80,29,3,328.63,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-07-15,86,25,2,316.99,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-07-16,78,41,2,317.94,
2024-07-17,73,45,2,251.27,
2024-07-18,74,41,2,262.41,
2024-07-19,73,43,3,318.71,
2024-07-20,70,55,3,228.87,
2024-07-21,69,45,2,199.89,
2024-07-22,70,44,1,239.08,
2024-07-23,72,38,1,263.91,
2024-07-24,76,32,2,276.83,
2024-07-25,77,32,3,289.32,
2024-07-26,78,37,4,287.27,
2024-07-27,79,40,5,302.66,
2024-07-28,78,34,3,286.89,
2024-07-29,80,37,2,306.44,
2024-07-30,82,18,2,302.68,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-07-31,80,38,2,312.2,
2024-08-01,77,32,2,299.05,
2024-08-02,80,33,2,292.76,
2024-08-03,81,33,2,295.02,
2024-08-04,80,24,3,261.84,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-08-05,85,24,3,305.43,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-08-06,73,45,3,286.76,
2024-08-07,77,42,2,150.91,
2024-08-08,67,54,3,283.07,
2024-08-09,57,71,2,177.22,
2024-08-10,59,69,2,29.92,
2024-08-11,65,65,2,90.6,
2024-08-12,66,69,2,142.41,
2024-08-13,74,63,3,148.17,
2024-08-14,73,38,2,204.87,
2024-08-15,74,34,3,225.79,
2024-08-16,73,41,2,296.71,
2024-08-17,77,41,2,260.53,
2024-08-18,77,50,3,284.12,
2024-08-19,74,52,3,252.98,
2024-08-20,76,50,3,233.61,
2024-08-21,75,55,4,260.64,
2024-08-22,76,46,3,189.31,
2024-08-23,71,62,2,244.74,
2024-08-24,80,27,2,153.24,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-08-25,83,20,3,264.74,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-08-26,79,31,3,271.27,
2024-08-27,75,46,2,247.76,
2024-08-28,78,31,3,256.72,
2024-08-29,73,56,3,259.01,
2024-08-30,67,31,2,104.08,
2024-08-31,69,27,2,265.07,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-09-01,69,32,2,270.79,
2024-09-02,70,35,3,269.18,
2024-09-03,71,28,4,264.12,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-09-04,73,26,3,265.37,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-09-05,67,49,3,263.9,
2024-09-06,65,29,2,109.98,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-09-07,68,38,3,254.29,
2024-09-08,71,27,3,248.45,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-09-09,77,21,3,241.2,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-09-10,75,23,3,247.07,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
2024-09-11,72,21,3,222.99,Low humidity may increase evapotranspiration. Monitor soil moisture closely.
