Timestamp,Chlorophyll Index,Arable Field Evapotranspiration (mm),Arable Canopy Evapotranspiration (mm),Growing Degree Days,Accumulated Growing Degree Days,NDVI,Minimum Relative Humidity,Relative Humidity at Max Temp,Relative Humidity at Min Temp,Shortwave Downwelling Radiation,Max Temp,Mean Temp,Min Temp,Max Dew Point Temp,Max Temp Time,Min Temp Time,Precipitation,Precipitation Hours,Cumulative Precipitation,Sea Level Pressure,Vapor Pressure Deficit,Crop Coefficient,Leaf Wetness (Hours),Dew Temp,Crop Water Demand (mm/day),Sun Duration,Wind Direction,Wind Speed,Wind Direction Degrees,Max Wind Speed,Min Wind Speed,Accumulated GDD,Disease Risk,Yield Potential (%)
2024-06-04,0.4,0.13,0.0,23,421,0.12,35,38,81,231.72,86,74,61,59,2024-06-04T14:55:00Z,2024-06-04T23:55:00Z,0.0,3,0.03,1008,15,0.01,0,55,0.0,5.4,SE,3,141,5,0,421,Low Risk,21.05
2024-06-05,0.27,0.28,0.0,19,440,0.14,22,23,94,287.58,92,73,52,62,2024-06-05T17:30:00Z,2024-06-05T04:15:00Z,0.0,0,0.03,1010,16,0.03,5,54,0.0,12.8,SSW,2,201,4,0,440,Low Risk,22.0
2024-06-06,0.27,0.28,0.01,22,461,0.14,28,28,75,323.43,86,71,58,57,2024-06-06T17:25:00Z,2024-06-06T06:00:00Z,0.0,0,0.03,1016,15,0.03,0,49,0.0,12.8,E,2,87,4,0,461,Low Risk,23.05
2024-06-07,0.3,0.26,0.01,23,484,0.15,28,28,72,344.4,98,75,60,67,2024-06-07T18:20:00Z,2024-06-07T01:40:00Z,0.0,2,0.05,1010,14,0.05,2,60,0.0,10.3,S,3,170,5,0,484,Low Risk,24.2
2024-06-08,0.31,0.23,0.01,21,506,0.16,49,49,89,282.63,81,71,61,65,2024-06-08T15:45:00Z,2024-06-08T23:30:00Z,0.3,6,0.33,1012,8,0.05,8,61,0.0,10.8,ESE,4,122,6,0,506,Low Risk,25.3
2024-06-09,0.32,0.21,0.01,17,523,0.16,48,49,97,291.12,77,66,58,59,2024-06-09T17:00:00Z,2024-06-09T05:40:00Z,0.0,0,0.33,1019,7,0.06,8,56,0.0,10.6,E,2,101,3,1,523,Low Risk,26.150000000000002
2024-06-10,0.34,0.26,0.02,18,540,0.17,36,37,92,285.68,81,68,54,56,2024-06-10T15:35:00Z,2024-06-10T05:05:00Z,0.0,0,0.34,1017,11,0.08,4,53,0.0,13.1,SSE,3,165,6,1,540,Low Risk,27.0
2024-06-11,0.35,0.28,0.02,22,562,0.18,36,36,92,332.75,88,73,58,61,2024-06-11T16:25:00Z,2024-06-11T07:00:00Z,0.0,0,0.34,1014,14,0.09,4,57,0.0,11.8,S,2,189,4,0,562,Low Risk,28.1
2024-06-12,0.36,0.32,0.03,25,587,0.18,14,17,86,330.73,101,81,63,63,2024-06-12T15:15:00Z,2024-06-12T06:15:00Z,0.0,0,0.34,1010,25,0.09,0,55,0.0,12.8,SSW,3,204,5,1,587,Low Risk,29.349999999999998
2024-06-13,0.36,0.29,0.03,24,611,0.18,18,20,71,347.34,100,82,62,65,2024-06-13T14:05:00Z,2024-06-13T06:50:00Z,0.0,0,0.34,1010,24,0.09,0,56,0.0,12.2,SSE,3,151,4,1,611,Low Risk,30.55
2024-06-14,0.53,0.22,0.02,25,636,0.25,37,40,77,295.74,87,74,64,64,2024-06-14T17:10:00Z,2024-06-14T08:30:00Z,0.1,1,0.43,1016,12,0.19,0,59,0.0,10.1,ESE,3,112,6,2,636,Low Risk,31.8
2024-06-15,0.55,0.28,0.05,24,660,0.26,26,27,86,241.43,95,76,62,62,2024-06-15T17:35:00Z,2024-06-15T02:15:00Z,0.0,0,0.43,1008,16,0.2,3,59,0.0,12.2,S,2,177,4,0,660,Low Risk,33.0
2024-06-16,0.57,0.32,0.06,25,685,0.27,28,29,69,311.22,99,83,64,66,2024-06-16T16:15:00Z,2024-06-16T03:10:00Z,0.0,0,0.43,1003,23,0.22,0,61,0.0,12.7,S,3,176,6,1,685,Low Risk,34.25
2024-06-17,0.7,0.27,0.06,28,713,0.31,33,35,85,333.89,96,83,71,69,2024-06-17T17:35:00Z,2024-06-17T06:45:00Z,0.0,0,0.43,999,19,0.28,0,65,0.0,11.9,SSE,6,168,9,4,713,Low Risk,35.65
2024-06-18,0.68,0.22,0.06,23,737,0.3,46,47,69,288.27,80,74,67,66,2024-06-18T17:15:00Z,2024-06-18T23:55:00Z,0.0,0,0.43,1005,11,0.26,0,60,0.0,11.8,ESE,5,118,8,3,737,Low Risk,36.85
