Timestamp," M4"""," M8"""," M12"""," M16"""," M20"""," M24"""," M28"""," M32"""," M36"""," M40"""," M44"""," M48"""," EC4"""," EC8"""," EC12"""," EC16"""," EC20"""," EC24"""," EC28"""," EC32"""," EC36"""," EC40"""," EC44"""," EC48"""," Temperature (Celsius)4"""," Temperature (Celsius)8"""," Temperature (Celsius)12"""," Temperature (Celsius)16"""," Temperature (Celsius)20"""," Temperature (Celsius)24"""," Temperature (Celsius)28"""," Temperature (Celsius)32"""," Temperature (Celsius)36"""," Temperature (Celsius)40"""," Temperature (Celsius)44"""," Temperature (Celsius)48"""
6/7/2024 17:45,58.298,59.002,62.412,61.752,54.382,55.95,51.714,52.73,55.784,56.702,57.038,57.374,0.183502197,0.146697998,0.162231445,0.19543457,0.178436279,0.150848389,0.134643555,0.186157227,0.1796875,0.158843994,0.175170898,0.191467285,23.88,21.78,21.93,21.68,21.07,19.94,19.23,18.54,17.83,17.14,16.53,15.92
6/7/2024 18:00,58.294,58.97,62.406,61.738,54.384,55.938,51.71,52.732,55.808,56.712,57.032,57.352,0.184234619,0.146789551,0.162109375,0.195343018,0.178466797,0.150787354,0.13458252,0.186004639,0.179321289,0.159210205,0.175323486,0.191467285,24.21,21.84,21.9,21.65,21.06,19.95,19.23,18.54,17.85,17.14,16.54,15.94
6/7/2024 18:15,58.294,58.968,62.374,61.72,54.372,55.932,51.698,52.728,55.788,56.71,57.026,57.344,0.184967041,0.146820068,0.162139893,0.195281982,0.178375244,0.150970459,0.134613037,0.186035156,0.17956543,0.159393311,0.175445557,0.191497803,24.55,21.92,21.9,21.65,21.06,19.95,19.26,18.54,17.85,17.14,16.53,15.92
6/7/2024 18:30,58.268,58.946,62.376,61.714,54.366,55.938,51.714,52.72,55.792,56.7,57.032,57.366,0.185699463,0.147003174,0.161651611,0.195373535,0.178527832,0.150787354,0.134643555,0.186096191,0.179779053,0.15914917,0.175323486,0.19152832,24.84,22.03,21.9,21.65,21.06,19.94,19.23,18.54,17.85,17.14,16.54,15.94
6/7/2024 18:45,58.25,58.928,62.322,61.716,54.36,55.928,51.702,52.72,55.778,56.7,57.024,57.352,0.186401367,0.147277832,0.162017822,0.195404053,0.178405762,0.150817871,0.13458252,0.186157227,0.179718018,0.1590271,0.175292969,0.191558838,25.12,22.1,21.9,21.65,21.03,19.95,19.23,18.55,17.85,17.14,16.55,15.96
6/7/2024 19:00,58.244,58.924,62.3,61.68,54.354,55.94,51.698,52.722,55.756,56.682,57.008,57.334,0.187103271,0.147369385,0.161682129,0.195587158,0.178314209,0.150909424,0.13470459,0.186126709,0.179595947,0.158966064,0.175231934,0.191558838,25.4,22.18,21.9,21.59,21.04,19.95,19.26,18.54,17.83,17.14,16.53,15.93
6/7/2024 19:15,58.252,58.898,62.286,61.682,54.352,55.924,51.676,52.708,55.778,56.692,57.014,57.336,0.187957764,0.147369385,0.161590576,0.195373535,0.178527832,0.150878906,0.13470459,0.186218262,0.179382324,0.159118652,0.175354004,0.191589355,25.72,22.28,21.9,21.6,21.03,19.96,19.26,18.54,17.85,17.17,16.56,15.96
6/7/2024 19:30,58.22,58.896,62.276,61.688,54.344,55.918,51.676,52.708,55.78,56.668,57.004,57.34,0.188659668,0.147460938,0.161804199,0.195129395,0.178375244,0.150726318,0.134674072,0.186187744,0.179656982,0.159301758,0.175384521,0.191497803,25.99,22.37,21.9,21.6,21.04,19.95,19.27,18.56,17.85,17.14,16.54,15.94
6/7/2024 19:45,58.218,58.888,62.266,61.682,54.332,55.922,51.688,52.708,55.736,56.68,57.006,57.334,0.189147949,0.14755249,0.162139893,0.1953125,0.178375244,0.150817871,0.134735107,0.186248779,0.179779053,0.158935547,0.175140381,0.191375732,26.24,22.49,21.91,21.6,21.03,19.96,19.27,18.54,17.85,17.14,16.55,15.96
6/7/2024 20:00,58.212,58.884,62.246,61.68,54.34,55.922,51.67,52.704,55.77,56.674,56.998,57.324,0.189819336,0.147979736,0.161712646,0.195068359,0.178375244,0.151000977,0.134796143,0.186279297,0.179779053,0.159057617,0.175323486,0.191650391,26.51,22.61,21.95,21.58,21.04,19.95,19.28,18.58,17.85,17.17,16.57,15.97
